variant,label,seed,avg_reward,trailing50_return,std_reward,train_time_sec
baseline,Off / Off / Off (baseline FQL),0,22.2225,70.86,33.54926219382477,2.1259045600891113
baseline,Off / Off / Off (baseline FQL),1,16.4675,27.48,7.681727914343231,1.546001672744751
baseline,Off / Off / Off (baseline FQL),2,97.165,119.78,36.58569085038575,9.016955614089966
epsilon_only,Off / Off / On,0,42.6725,169.44,66.28480401834193,3.953711986541748
epsilon_only,Off / Off / On,1,110.3725,256.88,120.018680811572,10.72098159790039
epsilon_only,Off / Off / On,2,58.64,218.46,96.4419276041287,5.596573829650879
eligibility_only,Off / On / Off,0,34.0525,155.46,60.55835816590473,3.2000653743743896
eligibility_only,Off / On / Off,1,16.585,31.0,8.896503526667091,1.595306158065796
eligibility_only,Off / On / Off,2,15.28,26.42,7.461675415079378,1.4345357418060303
no_gaussian,Off / On / On,0,169.065,305.72,134.73546591376748,15.728890657424927
no_gaussian,Off / On / On,1,137.7775,270.14,136.17748710322863,12.842302083969116
no_gaussian,Off / On / On,2,132.515,266.2,132.88303042525786,12.34529733657837
gaussian_only,On / Off / Off,0,59.86,213.24,83.94575867785102,5.325138568878174
gaussian_only,On / Off / Off,1,78.3275,248.28,100.29815673156712,7.062910318374634
gaussian_only,On / Off / Off,2,144.6375,229.4,64.51593674240497,13.067980289459229
no_eligibility,On / Off / On,0,101.645,248.18,110.51361443279286,9.061973571777344
no_eligibility,On / Off / On,1,85.61,186.8,50.903662933034596,7.749683618545532
no_eligibility,On / Off / On,2,112.825,246.8,109.61094550728043,10.602704286575317
gaussian_eligibility,On / On / Off,0,135.5425,397.5,177.76648501264233,12.259615898132324
gaussian_eligibility,On / On / Off,1,172.1225,458.16,192.08916547725954,16.633805751800537
gaussian_eligibility,On / On / Off,2,183.54,408.82,125.59716716550578,16.293179988861084
full_gta,On / On / On (full FQL-GTA),0,420.015,461.08,129.1985478827065,41.141536235809326
full_gta,On / On / On (full FQL-GTA),1,283.225,482.24,201.10654980631537,29.25855016708374
full_gta,On / On / On (full FQL-GTA),2,213.3525,486.22,196.197510799067,19.265992641448975
