alpha,seed,trailing50_return,best_return,auc,episodes_to_solve,finally_solved
0.1,0,16.84,31.0,13.21,,False
0.1,1,16.7,34.0,13.016,,False
0.1,2,112.42,124.0,80.716,,False
0.1,3,16.44,29.0,13.542,,False
0.1,4,16.52,31.0,13.65,,False
0.1,5,17.06,28.0,13.726,,False
0.1,6,16.76,28.0,13.384,,False
0.1,7,16.52,30.0,12.946,,False
0.1,8,16.34,30.0,12.926,,False
0.1,9,16.28,27.0,13.068,,False
0.1,10,15.86,29.0,13.188,,False
0.1,11,16.46,27.0,12.81,,False
0.1,12,15.94,33.0,13.074,,False
0.1,13,109.5,123.0,76.222,,False
0.1,14,19.54,32.0,13.77,,False
0.1,15,16.3,30.0,13.14,,False
0.1,16,16.54,31.0,13.076,,False
0.1,17,16.42,26.0,12.872,,False
0.1,18,16.34,27.0,13.41,,False
0.1,19,16.44,29.0,13.578,,False
0.1,20,20.0,32.0,14.176,,False
0.1,21,16.42,29.0,13.62,,False
0.1,22,16.94,32.0,13.352,,False
0.1,23,16.64,29.0,13.204,,False
0.1,24,16.14,37.0,13.286,,False
0.1,25,16.78,26.0,13.146,,False
0.1,26,16.42,29.0,13.08,,False
0.1,27,16.64,31.0,13.554,,False
0.1,28,17.16,29.0,13.51,,False
0.1,29,112.78,139.0,77.792,,False
0.2,0,234.08,437.0,56.122,,False
0.2,1,162.78,481.0,36.51,,False
0.2,2,135.48,150.0,103.762,,False
0.2,3,249.42,500.0,57.36,,False
0.2,4,242.5,500.0,74.992,,False
0.2,5,223.44,401.0,55.984,,False
0.2,6,245.6,401.0,51.418,,False
0.2,7,234.3,447.0,60.042,,False
0.2,8,149.24,446.0,34.89,,False
0.2,9,255.0,500.0,62.632,,False
0.2,10,260.8,500.0,63.848,,False
0.2,11,39.7,193.0,17.542,,False
0.2,12,136.98,477.0,32.126,,False
0.2,13,117.84,127.0,95.024,,False
0.2,14,240.44,500.0,70.756,,False
0.2,15,232.46,448.0,51.29,,False
0.2,16,225.58,500.0,50.812,,False
0.2,17,97.9,500.0,24.802,,False
0.2,18,234.36,475.0,57.596,,False
0.2,19,229.26,429.0,53.544,,False
0.2,20,232.02,406.0,51.032,,False
0.2,21,235.04,407.0,60.946,,False
0.2,22,220.78,448.0,45.676,,False
0.2,23,217.6,434.0,47.63,,False
0.2,24,173.54,500.0,38.558,,False
0.2,25,227.78,404.0,48.76,,False
0.2,26,181.16,393.0,39.004,,False
0.2,27,250.68,437.0,59.406,,False
0.2,28,250.7,500.0,63.102,,False
0.2,29,123.88,134.0,96.512,,False
0.3,0,287.68,500.0,119.61,,False
0.3,1,283.82,500.0,118.942,,False
0.3,2,196.72,356.0,127.746,,False
0.3,3,280.1,500.0,140.85,,False
0.3,4,267.9,500.0,141.138,,False
0.3,5,283.72,500.0,131.428,,False
0.3,6,307.32,500.0,125.14,,False
0.3,7,258.0,500.0,109.666,,False
0.3,8,270.26,469.0,108.586,,False
0.3,9,281.0,500.0,115.852,,False
0.3,10,287.66,500.0,132.656,,False
0.3,11,271.24,500.0,88.238,,False
0.3,12,286.7,500.0,124.072,,False
0.3,13,150.12,177.0,106.648,,False
0.3,14,298.4,500.0,137.178,,False
0.3,15,279.18,500.0,105.096,,False
0.3,16,133.2,429.0,28.644,,False
0.3,17,267.0,500.0,93.744,,False
0.3,18,276.56,500.0,137.8,,False
0.3,19,278.18,500.0,107.756,,False
0.3,20,286.86,500.0,134.874,,False
0.3,21,286.8,500.0,135.246,,False
0.3,22,272.2,500.0,128.418,,False
0.3,23,262.82,500.0,88.876,,False
0.3,24,299.54,500.0,130.162,,False
0.3,25,275.84,500.0,133.884,,False
0.3,26,280.44,500.0,121.808,,False
0.3,27,289.38,500.0,121.668,,False
0.3,28,274.22,500.0,134.426,,False
0.3,29,198.1,305.0,117.044,,False
0.5,0,293.44,500.0,181.188,,False
0.5,1,291.64,500.0,180.84,,False
0.5,2,211.94,461.0,162.766,,False
0.5,3,284.28,500.0,179.122,,False
0.5,4,289.54,500.0,215.772,,False
0.5,5,283.08,500.0,196.56,,False
0.5,6,280.22,500.0,174.228,,False
0.5,7,299.54,500.0,162.554,,False
0.5,8,284.78,500.0,145.898,,False
0.5,9,278.58,493.0,166.512,,False
0.5,10,282.42,500.0,190.27,,False
0.5,11,277.64,500.0,185.424,,False
0.5,12,281.68,465.0,194.62,,False
0.5,13,198.32,277.0,143.234,,False
0.5,14,297.46,500.0,225.682,,False
0.5,15,276.22,500.0,154.73,,False
0.5,16,292.6,500.0,156.156,,False
0.5,17,280.84,500.0,164.704,,False
0.5,18,288.98,500.0,188.86,,False
0.5,19,289.32,500.0,182.172,,False
0.5,20,302.2,500.0,220.19,,False
0.5,21,287.74,500.0,193.156,,False
0.5,22,280.14,500.0,213.226,,False
0.5,23,288.12,500.0,162.85,,False
0.5,24,209.24,311.0,149.694,,False
0.5,25,288.24,500.0,177.592,,False
0.5,26,280.88,500.0,169.378,,False
0.5,27,275.84,500.0,182.858,,False
0.5,28,278.34,500.0,149.208,,False
0.5,29,210.84,454.0,143.95,,False
