env,param,value,val_trailing50
MountainCar-v0,lam,0.0,-140.4
MountainCar-v0,lam,0.3,-125.52
MountainCar-v0,lam,0.5,-152.62
MountainCar-v0,lam,0.7,-200.0
MountainCar-v0,lam,0.9,-200.0
MountainCar-v0,lam,0.99,-200.0
MountainCar-v0,sigma_mult,0.2,-186.38
MountainCar-v0,sigma_mult,0.35,-125.52
MountainCar-v0,sigma_mult,0.5,-123.4
MountainCar-v0,sigma_mult,0.7,-149.76
MountainCar-v0,epsilon_decay,0.9,-118.46
MountainCar-v0,epsilon_decay,0.95,-129.34
MountainCar-v0,epsilon_decay,0.99,-123.4
MountainCar-v0,epsilon_decay,0.995,-140.34
MountainCar-v0,epsilon_decay,0.999,-166.9
Acrobot-v1,lam,0.0,-495.84
Acrobot-v1,lam,0.3,-500.0
Acrobot-v1,lam,0.5,-252.64
Acrobot-v1,lam,0.7,-213.96
Acrobot-v1,lam,0.9,-188.26
Acrobot-v1,lam,0.99,-136.68
Acrobot-v1,sigma_mult,0.2,-463.4
Acrobot-v1,sigma_mult,0.35,-136.68
Acrobot-v1,sigma_mult,0.5,-90.16
Acrobot-v1,sigma_mult,0.7,-92.1
Acrobot-v1,epsilon_decay,0.9,-83.58
Acrobot-v1,epsilon_decay,0.95,-96.78
Acrobot-v1,epsilon_decay,0.99,-90.16
Acrobot-v1,epsilon_decay,0.995,-100.8
Acrobot-v1,epsilon_decay,0.999,-147.9
