param,value,seed,avg_reward,trailing50_return,train_time_sec
lam,0.0,0,101.645,248.18,26.812945127487183
lam,0.0,1,85.61,186.8,21.74234390258789
lam,0.0,2,112.825,246.8,30.1555438041687
lam,0.0,3,182.8725,271.14,49.80216121673584
lam,0.0,4,87.675,187.38,26.014822959899902
lam,0.3,0,290.65,473.14,54.37073802947998
lam,0.3,1,186.585,461.46,23.63855290412903
lam,0.3,2,135.3325,362.96,19.401299715042114
lam,0.3,3,130.7475,226.26,17.29992437362671
lam,0.3,4,165.845,391.12,20.59277081489563
lam,0.5,0,420.015,461.08,53.168978452682495
lam,0.5,1,283.225,482.24,35.75615191459656
lam,0.5,2,213.3525,486.22,26.808526277542114
lam,0.5,3,215.0025,439.6,27.492092847824097
lam,0.5,4,320.1275,476.62,40.51160764694214
lam,0.7,0,288.035,270.1,36.1990647315979
lam,0.7,1,193.4075,428.24,24.781259775161743
lam,0.7,2,276.6375,290.86,34.24837303161621
lam,0.7,3,281.2775,383.86,37.8661744594574
lam,0.7,4,337.64,495.58,42.862645626068115
lam,0.9,0,336.8825,370.72,43.24284553527832
lam,0.9,1,332.31,445.96,41.42702317237854
lam,0.9,2,288.57,449.04,36.634411334991455
lam,0.9,3,243.005,326.4,30.3419349193573
lam,0.9,4,332.0325,463.36,41.16218543052673
lam,0.99,0,259.37,242.4,32.787075996398926
lam,0.99,1,249.435,449.66,31.376746654510498
lam,0.99,2,215.9375,301.96,26.971550941467285
lam,0.99,3,228.9425,94.68,30.755292892456055
lam,0.99,4,237.805,209.34,32.90037202835083
sigma_mult,0.2,0,164.82,264.34,25.883421897888184
sigma_mult,0.2,1,268.255,357.38,35.58664870262146
sigma_mult,0.2,2,251.6675,416.24,35.4730110168457
sigma_mult,0.2,3,134.595,210.5,19.409467697143555
sigma_mult,0.2,4,171.275,256.38,23.671013832092285
sigma_mult,0.35,0,420.015,461.08,71.41982340812683
sigma_mult,0.35,1,283.225,482.24,47.28511691093445
sigma_mult,0.35,2,213.3525,486.22,31.186646461486816
sigma_mult,0.35,3,215.0025,439.6,30.24837827682495
sigma_mult,0.35,4,320.1275,476.62,44.21303749084473
sigma_mult,0.5,0,13.985,15.34,1.6187236309051514
sigma_mult,0.5,1,13.85,14.9,2.482110023498535
sigma_mult,0.5,2,13.77,15.14,1.5448548793792725
sigma_mult,0.5,3,13.4375,14.72,2.051283359527588
sigma_mult,0.5,4,14.195,15.38,1.9437875747680664
sigma_mult,0.7,0,10.2525,9.34,1.1446788311004639
sigma_mult,0.7,1,10.2925,9.3,1.8456141948699951
sigma_mult,0.7,2,10.1425,9.3,1.5064013004302979
sigma_mult,0.7,3,10.245,10.3,1.3100461959838867
sigma_mult,0.7,4,10.1375,9.48,1.4552316665649414
epsilon_decay,0.9,0,9.4125,9.3,1.6626999378204346
epsilon_decay,0.9,1,9.4425,9.34,1.0247912406921387
epsilon_decay,0.9,2,9.405,9.36,0.9646203517913818
epsilon_decay,0.9,3,9.4275,9.38,1.6068735122680664
epsilon_decay,0.9,4,9.41,9.32,1.5686709880828857
epsilon_decay,0.95,0,58.0175,264.56,8.148923635482788
epsilon_decay,0.95,1,68.7,254.72,10.23518419265747
epsilon_decay,0.95,2,49.02,224.16,7.316908121109009
epsilon_decay,0.95,3,48.905,235.6,7.344890594482422
epsilon_decay,0.95,4,52.4,280.98,8.70969820022583
epsilon_decay,0.99,0,420.015,461.08,81.5518250465393
epsilon_decay,0.99,1,283.225,482.24,49.007057666778564
epsilon_decay,0.99,2,213.3525,486.22,26.51630663871765
epsilon_decay,0.99,3,215.0025,439.6,34.53860640525818
epsilon_decay,0.99,4,320.1275,476.62,48.65011477470398
epsilon_decay,0.995,0,305.84,328.36,41.75873112678528
epsilon_decay,0.995,1,266.2825,442.44,35.759541273117065
epsilon_decay,0.995,2,237.85,399.28,31.965662956237793
epsilon_decay,0.995,3,249.0425,388.82,46.680296897888184
epsilon_decay,0.995,4,235.2375,446.2,75.26290655136108
epsilon_decay,0.999,0,144.115,231.96,37.68048071861267
epsilon_decay,0.999,1,129.34,232.3,35.42256784439087
epsilon_decay,0.999,2,108.5175,183.72,30.66160774230957
epsilon_decay,0.999,3,119.1275,169.16,32.205830335617065
epsilon_decay,0.999,4,121.915,157.22,42.21272587776184
