step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,20.0,9.0
1,13.0,9.0,9.0,13.0,9.0,9.0,13.0,9.0,9.0,14.0,10.0,11.0
2,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,27.0,13.0,13.0
3,9.0,8.0,10.0,9.0,8.0,11.0,9.0,8.0,11.0,13.0,9.0,12.0
4,8.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,10.0,23.0,14.0,17.0
5,13.0,10.0,11.0,13.0,10.0,10.0,13.0,10.0,10.0,27.0,36.0,10.0
6,10.0,10.0,11.0,10.0,10.0,13.0,10.0,10.0,13.0,63.0,10.0,22.0
7,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,32.0,12.0,9.0
8,10.0,9.0,9.0,10.0,9.0,37.0,10.0,9.0,37.0,102.0,34.0,10.0
9,9.0,9.0,14.0,9.0,9.0,11.0,9.0,9.0,11.0,85.0,10.0,11.0
10,13.0,9.0,13.0,13.0,9.0,11.0,13.0,9.0,11.0,123.0,16.0,15.0
11,9.0,11.0,9.0,9.0,11.0,34.0,9.0,11.0,34.0,39.0,10.0,11.0
12,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,120.0,15.0,11.0
13,9.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,145.0,21.0,13.0
14,11.0,10.0,13.0,11.0,10.0,12.0,11.0,10.0,12.0,23.0,13.0,11.0
15,10.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,209.0,27.0,11.0
16,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,20.0,11.0,23.0
17,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,124.0,18.0,11.0
18,13.0,10.0,11.0,13.0,10.0,13.0,13.0,10.0,13.0,296.0,11.0,11.0
19,12.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,145.0,15.0,9.0
20,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,72.0,16.0,11.0
21,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,379.0,15.0,14.0
22,11.0,13.0,10.0,11.0,13.0,10.0,11.0,13.0,10.0,120.0,17.0,10.0
23,11.0,9.0,13.0,11.0,9.0,11.0,11.0,9.0,11.0,74.0,18.0,11.0
24,9.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,11.0,328.0,16.0,12.0
25,10.0,10.0,12.0,10.0,10.0,14.0,10.0,10.0,14.0,263.0,15.0,13.0
26,11.0,10.0,10.0,11.0,10.0,34.0,11.0,10.0,34.0,35.0,18.0,12.0
27,10.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,299.0,13.0,12.0
28,9.0,12.0,11.0,9.0,12.0,51.0,9.0,12.0,11.0,168.0,22.0,25.0
29,9.0,10.0,10.0,9.0,10.0,40.0,9.0,10.0,41.0,202.0,16.0,15.0
30,10.0,11.0,12.0,10.0,11.0,14.0,10.0,11.0,12.0,260.0,15.0,12.0
31,9.0,13.0,36.0,9.0,13.0,14.0,9.0,13.0,58.0,328.0,19.0,12.0
32,12.0,8.0,11.0,12.0,8.0,41.0,12.0,8.0,11.0,240.0,13.0,21.0
33,8.0,10.0,10.0,8.0,10.0,115.0,8.0,10.0,33.0,170.0,16.0,8.0
34,12.0,8.0,54.0,12.0,8.0,12.0,12.0,8.0,12.0,30.0,11.0,11.0
35,8.0,8.0,11.0,8.0,8.0,127.0,8.0,8.0,11.0,264.0,11.0,14.0
36,8.0,10.0,11.0,8.0,10.0,123.0,8.0,10.0,34.0,322.0,15.0,13.0
37,10.0,9.0,13.0,10.0,9.0,37.0,10.0,9.0,11.0,65.0,16.0,15.0
