seed,episode,agent,return
0,1,Baseline FQL,11.0
0,1,Improved FQL-GTA,11.0
0,2,Baseline FQL,13.0
0,2,Improved FQL-GTA,14.0
0,3,Baseline FQL,9.0
0,3,Improved FQL-GTA,27.0
0,4,Baseline FQL,9.0
0,4,Improved FQL-GTA,13.0
0,5,Baseline FQL,8.0
0,5,Improved FQL-GTA,23.0
0,6,Baseline FQL,13.0
0,6,Improved FQL-GTA,27.0
0,7,Baseline FQL,10.0
0,7,Improved FQL-GTA,63.0
0,8,Baseline FQL,9.0
0,8,Improved FQL-GTA,32.0
0,9,Baseline FQL,10.0
0,9,Improved FQL-GTA,102.0
0,10,Baseline FQL,9.0
0,10,Improved FQL-GTA,85.0
0,11,Baseline FQL,13.0
0,11,Improved FQL-GTA,123.0
0,12,Baseline FQL,9.0
0,12,Improved FQL-GTA,39.0
0,13,Baseline FQL,10.0
0,13,Improved FQL-GTA,120.0
0,14,Baseline FQL,9.0
0,14,Improved FQL-GTA,145.0
0,15,Baseline FQL,11.0
0,15,Improved FQL-GTA,23.0
0,16,Baseline FQL,10.0
0,16,Improved FQL-GTA,209.0
0,17,Baseline FQL,10.0
0,17,Improved FQL-GTA,20.0
0,18,Baseline FQL,9.0
0,18,Improved FQL-GTA,124.0
0,19,Baseline FQL,13.0
0,19,Improved FQL-GTA,296.0
0,20,Baseline FQL,12.0
0,20,Improved FQL-GTA,145.0
0,21,Baseline FQL,10.0
0,21,Improved FQL-GTA,72.0
0,22,Baseline FQL,10.0
0,22,Improved FQL-GTA,379.0
0,23,Baseline FQL,11.0
0,23,Improved FQL-GTA,120.0
0,24,Baseline FQL,11.0
0,24,Improved FQL-GTA,74.0
0,25,Baseline FQL,9.0
0,25,Improved FQL-GTA,328.0
0,26,Baseline FQL,10.0
0,26,Improved FQL-GTA,263.0
0,27,Baseline FQL,11.0
0,27,Improved FQL-GTA,35.0
0,28,Baseline FQL,10.0
0,28,Improved FQL-GTA,299.0
0,29,Baseline FQL,9.0
0,29,Improved FQL-GTA,168.0
0,30,Baseline FQL,9.0
0,30,Improved FQL-GTA,202.0
0,31,Baseline FQL,10.0
0,31,Improved FQL-GTA,260.0
0,32,Baseline FQL,9.0
0,32,Improved FQL-GTA,328.0
0,33,Baseline FQL,12.0
0,33,Improved FQL-GTA,240.0
0,34,Baseline FQL,8.0
0,34,Improved FQL-GTA,170.0
0,35,Baseline FQL,12.0
0,35,Improved FQL-GTA,30.0
0,36,Baseline FQL,8.0
0,36,Improved FQL-GTA,264.0
0,37,Baseline FQL,8.0
0,37,Improved FQL-GTA,322.0
0,38,Baseline FQL,10.0
0,38,Improved FQL-GTA,65.0
0,39,Baseline FQL,9.0
0,39,Improved FQL-GTA,454.0
0,40,Baseline FQL,10.0
0,40,Improved FQL-GTA,279.0
0,41,Baseline FQL,8.0
0,41,Improved FQL-GTA,29.0
0,42,Baseline FQL,10.0
0,42,Improved FQL-GTA,258.0
0,43,Baseline FQL,8.0
0,43,Improved FQL-GTA,316.0
0,44,Baseline FQL,10.0
0,44,Improved FQL-GTA,311.0
0,45,Baseline FQL,9.0
0,45,Improved FQL-GTA,500.0
0,46,Baseline FQL,12.0
0,46,Improved FQL-GTA,319.0
0,47,Baseline FQL,10.0
0,47,Improved FQL-GTA,137.0
0,48,Baseline FQL,10.0
0,48,Improved FQL-GTA,294.0
0,49,Baseline FQL,11.0
0,49,Improved FQL-GTA,248.0
0,50,Baseline FQL,10.0
0,50,Improved FQL-GTA,427.0
0,51,Baseline FQL,9.0
0,51,Improved FQL-GTA,500.0
0,52,Baseline FQL,10.0
0,52,Improved FQL-GTA,500.0
0,53,Baseline FQL,10.0
0,53,Improved FQL-GTA,500.0
0,54,Baseline FQL,10.0
0,54,Improved FQL-GTA,297.0
0,55,Baseline FQL,10.0
0,55,Improved FQL-GTA,329.0
0,56,Baseline FQL,10.0
0,56,Improved FQL-GTA,287.0
0,57,Baseline FQL,9.0
0,57,Improved FQL-GTA,291.0
0,58,Baseline FQL,9.0
0,58,Improved FQL-GTA,500.0
0,59,Baseline FQL,10.0
0,59,Improved FQL-GTA,229.0
0,60,Baseline FQL,10.0
0,60,Improved FQL-GTA,81.0
0,61,Baseline FQL,10.0
0,61,Improved FQL-GTA,500.0
0,62,Baseline FQL,9.0
0,62,Improved FQL-GTA,500.0
0,63,Baseline FQL,9.0
0,63,Improved FQL-GTA,229.0
0,64,Baseline FQL,10.0
0,64,Improved FQL-GTA,455.0
0,65,Baseline FQL,10.0
0,65,Improved FQL-GTA,500.0
0,66,Baseline FQL,10.0
